CPF,AveragePerformance,Área,Potencial Bruto,Raciocínio,Social,Motivacional,Cultura pontuação,atributo-Capacidade analítica,atributo-Pensamento conceitual,atributo-Reflexão,atributo-Pensamento criativo,atributo-Planejamento e organização,atributo-Comunicação,atributo-Consideração pelos outros,atributo-Influência,atributo-Sociabilidade,atributo-Facilitação,atributo-Flexibilidade,atributo-Estabilidade emocional,atributo-Ambição,atributo-Iniciativa,atributo-Assertividade,atributo-Tomada de riscos,perfil-Capacidade analítica,perfil-Pensamento conceitual,perfil-Reflexão,perfil-Pensamento criativo,perfil-Planejamento e organização,perfil-Comunicação,perfil-Consideração pelos outros,perfil-Influência,perfil-Sociabilidade,perfil-Facilitação,perfil-Flexibilidade,perfil-Estabilidade emocional,perfil-Ambição,perfil-Iniciativa,perfil-Assertividade,perfil-Tomada de riscos
915.347.082-61,1.6666666666666667,Pessoas,,28.64,,,54.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702.185.493-51,2.0,Pessoas,,56.15,,,30.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589.203.714-23,2.3333333333333335,Logística,,69.18,,,36.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871.630.549-39,2.0,Comercial,42.68,10.89,54.12,77.53,70.49,21.9,19.25,17.54,3.9,10.72,48.08,48.08,37.85,58.31,65.13,54.9,92.79,71.5,71.5,57.86,68.09,64.68,60.14,55.59,19.23,37.41,41.95,41.95,28.32,55.59,64.68,51.05,87.41,41.95,41.95,23.77,37.41
671.045.238-71,2.0,Financeiro,,65.21,,,59.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743.128.569-82,2.3333333333333335,Pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.437.056-52,2.3333333333333335,Pessoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763.921.048-87,2.0,Financeiro,67.72,74.96,67.28,56.75,59.81,86.39,65.52,55.29,62.11,79.15,78.3,82.56,61.25,64.66,74.89,71.48,57.54,54.13,77.99,47.31,54.13,73.77,37.41,23.77,32.86,55.59,64.68,73.77,41.95,46.5,60.14,55.59,51.05,46.5,78.32,37.41,46.5
130.489.756-75,2.3333333333333335,Pessoas,75.86,,73.87,90.89,38.57,83.02,51.96,62.18,58.77,79.23,67.83,61.02,67.83,87.55,71.24,57.61,99.47,89.25,90.95,78.04,74.63,73.77,28.32,41.95,37.41,64.68,41.95,32.86,41.95,78.32,46.5,28.32,87.41,60.14,64.68,32.86,28.32
359.628.074-56,1.6666666666666667,Logística,,67.81,,,55.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302.978.614-51,2.0,Logística,64.55,61.63,77.16,51.56,82.17,76.06,41.96,55.6,59.01,76.06,40.44,84.09,87.5,60.9,74.54,64.31,48.93,79.62,69.39,72.8,19.13,69.23,23.77,41.95,46.5,69.23,7.44,64.68,73.77,28.32,46.5,32.86,46.5,87.41,73.77,78.32,8.74
973.801.654-11,1.6666666666666667,Logística,65.84,60.88,70.58,67.14,39.42,48.03,65.07,48.03,68.48,68.48,82.5,61.13,78.18,78.18,78.18,74.77,40.65,78.15,67.93,61.11,61.11,32.86,55.59,32.86,60.14,60.14,69.23,37.41,60.14,60.14,60.14,55.59,14.68,64.68,51.05,41.95,41.95
326.809.517-86,2.3333333333333335,Financeiro,,38.47,,,22.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719.650.482-85,2.0,Financeiro,40.65,40.07,40.95,41.17,60.79,54.49,34.04,18.5,57.9,37.45,38.32,48.55,51.96,34.91,21.28,45.14,38.54,62.41,59.0,52.18,31.73,69.23,41.95,19.23,73.77,46.5,46.5,60.14,64.68,41.95,23.77,55.59,46.5,78.32,73.77,64.68,37.41
407.528.691-67,2.3333333333333335,Pessoas,,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958.143.260-42,2.3333333333333335,Financeiro,42.66,42.22,44.24,41.17,50.52,29.37,53.23,53.23,56.64,36.19,51.84,41.61,65.48,65.48,17.17,45.02,10.52,48.77,41.95,35.13,48.77,32.86,64.68,64.68,69.23,41.95,60.14,46.5,78.32,78.32,10.14,51.05,6.14,60.14,51.05,41.95,60.14
361.847.290-12,2.0,Pessoas,,58.93,,,52.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813.247.065-62,2.3333333333333335,Operações,60.96,57.68,63.99,61.95,23.05,75.51,51.65,61.88,48.24,44.83,51.14,51.14,68.18,44.32,75.0,44.32,59.32,55.91,52.5,72.96,62.73,73.77,41.95,55.59,37.41,32.86,32.86,32.86,55.59,23.77,64.68,23.77,46.5,41.95,37.41,64.68,51.05
904.635.781-39,1.6666666666666667,Operações,,25.26,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.597.483-23,2.0,Operações,54.76,48.67,63.99,51.56,30.53,46.05,35.82,25.59,39.23,49.46,80.91,89.43,54.55,64.78,75.0,75.0,48.93,45.52,83.22,19.13,45.52,46.5,32.86,19.23,37.41,51.05,73.77,91.86,37.41,51.05,64.68,64.68,46.5,41.95,91.86,8.74,41.95
819.035.274-14,1.6666666666666667,Operações,47.4,42.17,54.12,46.36,70.35,49.77,60.0,29.31,56.59,36.13,58.31,48.08,65.13,54.9,37.85,61.72,40.33,36.92,57.38,30.1,64.19,60.14,73.77,32.86,69.23,41.95,55.59,41.95,64.68,51.05,28.32,60.14,41.95,37.41,64.68,28.32,73.77
716.529.408-21,2.0,Logística,,78.5,,,68.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.345.610-24,1.6666666666666667,Operações,,10.89,,,38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498.312.075-13,2.0,Operações,61.84,67.79,47.53,72.34,32.72,65.17,48.12,54.94,65.17,71.99,41.5,41.5,48.31,38.09,58.54,51.72,88.49,66.3,73.12,42.44,66.3,46.5,23.77,32.86,46.5,55.59,41.95,41.95,51.05,37.41,64.68,55.59,82.86,41.95,51.05,10.14,41.95
928.047.153-88,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614.780.329-87,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790.152.436-71,1.6666666666666667,Operações,,39.6,,,31.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876.915.304-39,2.3333333333333335,Comercial,47.46,,,,,,,,,,,,,,,,,,,,,41.95,32.86,69.23,32.86,46.5,73.77,55.59,41.95,55.59,23.77,64.68,41.95,73.77,46.5,46.5,14.68
573.801.694-75,2.0,Logística,,23.77,,,33.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650.749.182-94,1.6666666666666667,Logística,,62.03,,,61.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.341.670-44,2.0,Operações,65.25,60.82,54.12,87.92,82.56,47.96,37.74,41.15,65.01,51.37,71.94,65.13,58.31,61.72,51.49,68.54,75.07,80.94,80.94,78.48,87.76,32.86,19.23,23.77,55.59,37.41,73.77,64.68,55.59,60.14,46.5,69.23,32.86,41.95,41.95,37.41,60.14
017.926.584-94,1.6666666666666667,Comercial,,10.22,,,35.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736.548.190-11,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.129.485-14,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635.142.078-44,1.6666666666666667,Operações,,51.13,,,46.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854.236.071-16,1.6666666666666667,Operações,,51.98,,,63.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475.810.963-19,2.0,Comercial,70.32,62.71,73.87,77.53,27.05,49.86,56.68,53.27,56.68,56.68,92.67,87.55,80.74,78.06,57.61,82.44,47.63,84.27,84.27,57.86,82.57,32.86,41.95,37.41,41.95,41.95,90.56,78.32,60.14,55.59,28.32,64.68,10.14,64.68,64.68,23.77,60.14
831.976.405-19,2.0,Operações,,72.51,,,67.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965.384.210-24,2.3333333333333335,Operações,,21.22,,,20.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398.657.140-19,2.3333333333333335,Comercial,41.49,54.42,34.36,30.78,31.48,62.02,65.43,58.61,48.38,68.84,35.15,35.15,41.96,19.05,31.74,21.51,38.38,31.56,38.38,18.96,12.15,60.14,64.68,55.59,41.95,69.23,51.05,51.05,60.14,28.32,46.5,32.86,60.14,51.05,60.14,32.86,14.68
094.138.527-23,2.3333333333333335,Comercial,,49.5,,,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091.824.673-31,2.3333333333333335,Operações,,54.83,,,49.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827.319.506-68,2.3333333333333335,Operações,,48.31,,,41.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620.749.518-76,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.718.395-37,2.3333333333333335,Comercial,,57.55,,,55.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806.175.423-17,2.3333333333333335,Comercial,,80.52,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.816.753-17,2.0,Comercial,62.2,55.03,70.58,61.95,21.63,66.04,42.18,55.81,62.63,79.68,37.27,78.18,67.95,71.36,57.72,47.5,90.12,72.96,69.55,49.1,55.91,64.68,32.86,51.05,60.14,82.86,8.74,60.14,46.5,51.05,32.86,19.23,93.16,64.68,60.14,32.86,41.95
097.831.562-68,2.0,Operações,,87.2,,,75.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321.849.507-51,2.0,Comercial,60.08,90.78,31.07,51.56,32.02,90.9,74.52,77.93,89.19,87.49,15.7,25.04,28.44,48.9,48.9,19.11,81.51,59.16,55.75,38.71,38.71,64.68,28.32,32.86,60.14,55.59,23.77,41.95,46.5,73.77,73.77,32.86,90.56,60.14,55.59,32.86,32.86
365.489.217-55,1.6666666666666667,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713.564.829-37,2.3333333333333335,Comercial,,9.3,,,13.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.290.635-99,2.0,Comercial,,41.74,,,45.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956.243.718-37,2.0,Comercial,,,,82.73,42.86,,,,,,,,,,,,,,,,,73.77,60.14,64.68,73.77,55.59,19.23,28.32,73.77,64.68,28.32,60.14,37.41,51.05,46.5,64.68,23.77
065.749.281-76,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807.259.463-18,2.0,Comercial,,76.44,,,60.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082.751.693-21,2.3333333333333335,Operações,,61.17,,,64.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405.931.726-81,2.3333333333333335,Operações,43.04,29.12,63.99,35.97,31.76,46.95,33.31,23.09,19.84,36.72,75.0,54.55,68.18,75.0,57.96,64.78,33.35,19.86,43.58,26.53,18.15,73.77,55.59,41.95,37.41,60.14,64.68,37.41,55.59,64.68,41.95,51.05,46.5,28.32,60.14,37.41,23.77
716.942.805-94,2.3333333333333335,Comercial,,64.06,,,72.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.684.137-19,2.3333333333333335,Comercial,39.43,49.65,37.65,25.58,29.16,36.79,57.25,29.98,40.2,67.48,41.85,31.62,41.85,24.8,41.85,48.67,22.96,33.19,9.55,18.07,26.37,32.86,60.14,23.77,37.41,73.77,55.59,41.95,55.59,32.86,55.59,64.68,46.5,60.14,14.68,37.41,51.05
045.369.712-71,2.3333333333333335,Operações,,45.89,6.61,,30.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701.582.934-79,1.6666666666666667,Comercial,,51.32,,,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.248.175-91,1.6666666666666667,Operações,,50.15,,,26.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.695.408-58,1.6666666666666667,Operações,,21.61,,,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.861.407-62,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342.617.058-26,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.731.829-96,1.6666666666666667,Comercial,51.36,36.58,60.7,61.95,23.43,30.55,27.14,37.36,27.14,27.14,71.71,61.48,78.53,58.07,71.71,64.89,52.5,66.14,59.32,66.14,55.91,41.95,37.41,51.05,37.41,37.41,64.68,51.05,73.77,46.5,64.68,55.59,37.41,55.59,46.5,55.59,41.95
251.043.869-71,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539.107.842-32,1.6666666666666667,Comercial,,49.16,,,43.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.715.398-21,2.0,Operações,,28.29,,,47.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.387.120-32,1.6666666666666667,Operações,,52.71,,,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.729.386-59,1.6666666666666667,Operações,,50.22,,,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596.437.201-52,2.0,Comercial,,45.39,,,31.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034.591.672-71,1.6666666666666667,Operações,46.8,45.02,63.99,25.58,55.33,62.85,21.95,56.04,42.4,19.27,61.37,61.37,71.59,84.32,47.73,71.59,26.37,22.96,29.78,19.78,26.37,73.77,19.23,64.68,46.5,14.68,46.5,46.5,60.14,82.86,28.32,60.14,51.05,46.5,55.59,41.95,51.05
509.483.627-74,2.3333333333333335,Comercial,52.58,,57.41,35.97,53.86,59.52,45.89,73.16,42.48,66.34,54.78,44.56,58.19,54.78,37.74,58.19,43.58,36.76,53.8,18.15,23.12,51.05,32.86,69.23,28.32,60.14,46.5,32.86,51.05,46.5,23.77,51.05,60.14,51.05,73.77,23.77,32.86
932.457.106-15,2.0,Comercial,,35.66,,,30.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561.380.742-62,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968.315.024-15,1.6666666666666667,Comercial,47.69,62.32,24.49,56.75,38.78,80.08,49.47,81.78,46.06,39.24,12.41,45.72,15.82,2.18,49.13,28.68,40.49,54.13,57.54,57.54,33.67,73.77,32.86,78.32,28.32,19.23,23.77,78.32,32.86,6.14,82.86,55.59,28.32,46.5,51.05,51.05,19.23
160.732.459-81,1.6666666666666667,Comercial,,78.81,,,72.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652.809.173-11,1.6666666666666667,Operações,38.3,52.06,5.67,61.95,66.48,69.89,66.48,42.62,52.85,39.21,9.82,16.64,26.91,33.73,6.41,16.64,32.05,49.1,69.55,76.37,79.78,73.77,69.23,37.41,51.05,32.86,41.95,60.14,78.32,87.41,32.86,60.14,10.14,32.86,60.14,69.23,73.77
205.784.369-65,1.6666666666666667,Comercial,28.12,21.68,11.32,61.95,38.12,19.53,22.46,9.3,22.46,39.51,14.35,16.05,14.35,19.46,46.19,16.05,66.14,45.69,62.73,55.91,45.69,46.5,51.05,19.23,51.05,73.77,46.5,51.05,46.5,60.14,91.86,51.05,55.59,28.32,51.05,41.95,28.32
651.347.028-53,1.6666666666666667,Comercial,,67.9,,,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.594.380-61,1.6666666666666667,Operações,,35.68,,,41.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094.182.356-33,1.6666666666666667,Operações,49.71,80.73,27.78,30.78,53.71,87.57,67.87,47.42,84.16,71.28,28.56,10.64,38.79,62.65,12.35,25.15,52.02,24.75,38.38,12.15,31.56,69.23,32.86,8.74,60.14,37.41,51.05,14.68,64.68,91.86,19.23,46.5,78.32,41.95,60.14,14.68,51.05
537.240.918-51,1.6666666666666667,Comercial,,34.16,,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374.615.092-25,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391.276.804-87,1.6666666666666667,Operações,,81.53,,,32.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.537.904-16,2.3333333333333335,Operações,,71.75,,,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631.597.842-82,2.3333333333333335,Comercial,,68.25,,,29.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.962.430-14,2.3333333333333335,Comercial,,30.43,,,36.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039.681.725-41,2.3333333333333335,Comercial,,43.86,,,44.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978.021.534-41,2.3333333333333335,Operações,54.84,31.6,83.74,51.56,38.15,22.15,14.26,19.37,19.37,46.02,82.26,89.08,67.48,89.08,87.38,87.38,76.21,52.34,38.71,25.07,59.16,37.41,19.23,32.86,32.86,69.23,51.05,69.23,28.32,69.23,64.68,64.68,82.86,51.05,32.86,14.68,60.14
160.897.325-59,1.6666666666666667,Operações,,38.01,,,38.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.579.186-18,1.6666666666666667,Comercial,59.31,62.95,60.7,51.56,36.98,60.33,77.37,83.8,43.28,77.37,87.79,61.48,64.89,30.8,71.71,51.26,28.48,62.57,42.12,35.3,25.07,46.5,69.23,82.86,23.77,69.23,91.86,51.05,55.59,10.14,64.68,37.41,19.23,64.68,37.41,28.32,14.68
278.953.014-97,1.6666666666666667,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543.912.678-37,2.3333333333333335,Comercial,40.24,41.25,60.7,10.0,63.38,52.26,31.8,24.98,45.44,35.21,54.67,54.67,58.07,64.89,78.53,71.71,10.28,13.69,21.01,11.98,6.87,64.68,37.41,28.32,55.59,41.95,41.95,41.95,46.5,55.59,73.77,64.68,37.41,46.5,64.68,41.95,28.32
360.985.741-21,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492.567.380-74,1.6666666666666667,Operações,,74.2,,,31.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849.107.236-51,1.6666666666666667,Operações,40.86,25.82,54.12,46.36,31.37,26.6,18.19,18.19,30.01,47.06,44.67,48.08,58.31,65.13,75.35,37.85,64.19,53.97,43.74,40.33,30.1,51.05,37.41,37.41,55.59,78.32,37.41,41.95,55.59,64.68,78.32,28.32,73.77,60.14,46.5,41.95,28.32
602.148.739-78,2.3333333333333335,Comercial,,69.65,,,59.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523.946.108-24,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.238.950-88,2.0,Comercial,60.7,69.98,34.36,82.73,32.2,82.2,77.58,40.08,89.02,82.2,15.64,28.33,38.56,28.33,15.64,38.56,88.57,86.87,76.69,83.46,80.05,69.23,60.14,10.14,87.41,69.23,19.23,41.95,55.59,41.95,19.23,55.59,69.23,64.68,41.95,55.59,46.5
139.260.784-13,1.6666666666666667,Operações,,37.56,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.056.429-58,2.0,Operações,,12.56,,,43.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893.617.024-41,2.3333333333333335,Comercial,,36.21,,,31.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.689.325-86,2.3333333333333335,Comercial,,70.26,,,52.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647.823.501-71,2.0,Operações,,41.83,,,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654.872.013-15,2.3333333333333335,Operações,,56.93,63.99,,45.51,,,,,,,,,,,,,,,,,64.68,37.41,46.5,60.14,64.68,32.86,64.68,64.68,41.95,32.86,46.5,51.05,78.32,51.05,37.41,8.74
987.103.564-11,2.3333333333333335,Operações,,,90.09,77.53,45.52,,,,,,,,,,,,,,,,,60.14,41.95,51.05,28.32,41.95,55.59,60.14,32.86,46.5,41.95,73.77,23.77,51.05,46.5,51.05,28.32
137.264.508-15,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695.130.874-84,2.0,Operações,,55.17,,,66.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580.164.793-75,2.0,Operações,,40.25,,,48.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049.135.278-61,2.0,Comercial,35.36,28.3,54.12,20.39,24.74,29.09,25.68,52.95,25.68,25.68,51.49,51.49,31.04,54.9,24.22,51.49,1.84,17.18,31.4,12.06,21.17,51.05,46.5,82.86,46.5,46.5,46.5,46.5,19.23,51.05,10.14,46.5,7.44,41.95,64.68,28.32,51.05
185.624.097-58,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.058.163-15,2.3333333333333335,Comercial,41.48,53.66,27.78,41.17,34.25,61.26,51.03,40.8,57.85,84.27,28.56,15.76,21.74,21.74,42.2,19.17,45.36,41.95,48.77,48.77,19.04,60.14,46.5,32.86,55.59,91.86,51.05,28.32,41.95,41.95,69.23,37.41,55.59,51.05,60.14,60.14,19.23
426.795.130-61,2.3333333333333335,Comercial,,41.63,,,32.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741.036.298-78,1.6666666666666667,Comercial,57.86,69.43,63.99,30.78,49.7,66.8,70.21,66.8,59.99,83.63,71.59,75.0,44.32,71.59,75.0,57.96,48.61,21.34,41.79,13.85,24.75,46.5,51.05,46.5,37.41,73.77,60.14,64.68,23.77,60.14,64.68,41.95,73.77,37.41,64.68,19.23,41.95
021.563.489-61,2.3333333333333335,Operações,,53.94,,,78.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.832.967-46,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571.639.840-57,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914.025.387-23,2.3333333333333335,Comercial,,48.64,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.460.512-53,2.0,Comercial,,45.97,,,34.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486.790.235-74,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.184.960-48,1.6666666666666667,Operações,42.29,49.56,31.07,46.36,37.18,77.61,23.07,46.93,46.93,43.52,12.29,55.72,48.9,15.7,45.49,25.04,53.97,36.92,43.74,43.74,23.28,87.41,14.68,46.5,46.5,41.95,14.68,82.86,73.77,23.77,69.23,41.95,60.14,37.41,46.5,46.5,19.23
768.031.925-12,2.0,Comercial,,56.16,,,37.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.876.591-39,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.706.934-13,2.0,Operações,,56.34,,,73.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014.928.563-98,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065.923.187-59,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.290.548-89,1.6666666666666667,Operações,,43.13,,,57.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975.380.416-48,1.6666666666666667,Comercial,,33.64,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769.342.815-19,1.6666666666666667,Operações,,72.48,,,67.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768.394.015-11,1.6666666666666667,Operações,,,,,64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758.036.912-59,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597.230.418-12,2.0,Operações,,80.64,,,26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.358.197-12,2.0,Comercial,,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402.976.158-58,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365.129.780-21,2.3333333333333335,Operações,,62.76,,,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562.983.740-19,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.837.956-86,1.6666666666666667,Operações,,58.47,,,53.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.574.186-71,1.6666666666666667,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.820.973-96,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.530.614-71,1.6666666666666667,Comercial,,43.06,,,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984.657.102-11,2.3333333333333335,Comercial,,37.48,,,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.294.730-11,2.3333333333333335,Operações,,79.28,,,77.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907.182.365-21,2.0,Operações,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.465.381-64,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074.165.298-67,2.3333333333333335,Comercial,,52.3,,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532.694.081-71,1.6666666666666667,Comercial,,21.33,,,41.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.803.561-98,2.3333333333333335,Operações,,76.27,,,97.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.379.564-65,1.6666666666666667,Comercial,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.495.826-37,2.3333333333333335,Comercial,,15.38,,,80.15,,,,,,,,,,,,,,,,,82.86,46.5,41.95,28.32,41.95,55.59,37.41,69.23,41.95,32.86,55.59,64.68,51.05,28.32,37.41,46.5
815.743.296-18,1.6666666666666667,Operações,,48.2,,,43.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.761.098-11,1.6666666666666667,Operações,,33.85,,,56.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.014.658-11,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.568.027-21,1.6666666666666667,Operações,,30.26,,,59.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384.216.570-62,1.6666666666666667,Operações,,42.94,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.690.154-16,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
