CPF,Performance 1º/2019,Performance 2º/2018,Performance 1º/2018,Performance 2º 2017
810.624.735-15,2,2,1,
490.173.825-97,2,2,3,
820.531.469-15,2,3,2,
742.658.190-11,2,3,3,
391.824.057-61,2,2,3,
142.037.859-79,2,1,3,
837.104.259-13,2,2,3,
240.685.137-16,2,3,3,
347.298.016-87,2,1,3,
041.367.529-71,2,3,2,
276.508.314-26,2,2,3,
823.176.905-68,2,1,3,
743.689.520-65,2,1,1,
394.507.162-34,2,2,1,
571.384.269-17,2,3,2,
891.527.046-11,,,1,
159.320.784-13,,,,
698.537.102-77,2,1,2,
836.201.594-24,2,2,1,
950.364.712-61,2,2,3,
329.841.756-46,2,2,1,
583.479.260-18,2,1,3,
754.019.368-93,2,2,2,
392.418.576-17,,,,
319.427.068-12,2,3,2,
732.015.946-52,2,1,1,
673.890.421-51,2,3,1,
924.675.318-64,2,1,1,
629.731.085-86,2,2,3,
371.089.456-57,2,1,3,
463.908.215-14,2,1,1,
032.849.561-15,2,3,2,
713.946.052-34,1,1,1,
398.276.451-37,2,2,2,
893.512.467-28,2,1,3,
621.890.453-98,2,3,1,
371.846.205-26,,,3,
108.649.573-19,2,2,1,
168.457.923-64,1,1,1,
698.302.514-89,2,2,1,
629.485.137-82,2,1,1,
850.392.471-41,2,1,2,
386.425.971-19,2,1,2,
375.849.210-61,2,3,1,
537.961.280-68,1,1,3,
420.951.378-41,2,1,3,
382.176.594-19,2,1,2,
625.108.937-77,2,3,1,
056.918.347-21,2,3,2,
506.478.129-67,2,1,2,
583.140.627-15,,,1,
629.031.847-12,2,2,2,
086.921.574-49,2,3,3,
198.627.405-58,2,3,1,
216.749.308-87,2,1,2,
962.410.873-12,1,1,2,
158.394.267-17,2,1,2,
986.245.173-46,2,3,1,
975.401.638-11,2,1,1,
857.621.403-26,2,2,3,
806.459.123-61,2,3,1,
530.184.296-13,2,2,1,
965.748.301-84,,,1,
739.016.485-93,2,1,3,
109.674.283-78,2,3,3,
837.249.560-29,2,2,2,
532.764.081-71,2,3,2,
821.409.657-11,2,2,2,
150.249.837-51,2,1,2,
712.853.096-77,2,3,2,
241.650.397-99,2,3,2,
148.673.529-18,2,1,3,
513.480.692-61,1,1,2,
241.593.067-99,2,2,2,
053.476.921-71,2,2,3,
734.820.165-26,,,3,
182.567.390-11,2,1,1,
475.806.321-44,2,3,3,
789.432.561-91,2,1,1,
598.317.602-12,2,3,2,
482.751.963-37,2,2,1,
109.543.628-71,2,3,3,
428.716.305-26,2,3,1,
845.937.162-17,1,1,1,
536.189.702-77,2,1,2,
901.743.852-51,2,2,2,
309.271.845-32,2,2,3,
401.527.683-35,2,2,1,
961.874.352-73,2,3,3,
678.239.451-18,2,2,3,
542.167.389-82,2,2,2,
410.326.598-15,1,2,3,
257.648.319-46,,,2,
387.509.264-38,3,2,3,
657.893.201-12,2,1,1,
386.275.049-38,1,2,1,
045.261.798-76,1,3,1,
250.613.478-62,2,2,2,
571.290.684-85,1,2,2,
752.184.096-85,2,2,1,
368.521.704-62,1,1,2,
271.345.986-91,3,2,1,
596.843.172-55,2,3,1,
187.503.469-21,3,2,2,
172.853.906-41,2,3,1,
018.239.765-31,2,1,3,
493.061.758-84,1,1,2,
801.374.659-39,1,2,3,
340.872.691-41,3,1,2,
368.547.021-35,3,3,1,
985.216.347-73,,,1,
532.789.104-61,2,1,2,
053.612.978-95,1,1,1,
742.310.659-34,2,2,1,
065.894.217-49,1,2,1,
876.201.349-13,1,1,1,
654.789.231-17,3,3,2,
581.734.260-15,3,2,1,
960.215.874-31,1,1,1,
072.935.684-11,1,1,1,
932.754.106-52,1,3,2,
503.762.198-41,3,2,3,
108.273.564-71,1,2,3,
872.350.496-18,1,1,1,
561.782.340-15,3,3,1,
037.154.692-34,1,2,3,
510.938.642-14,,,1,
927.438.510-23,1,3,3,
750.862.149-21,1,3,1,
086.497.132-11,3,1,1,
593.874.601-93,2,3,3,
735.260.194-52,3,1,2,
153.607.942-16,,,,
742.690.153-14,,,,
742.695.018-21,,,,
905.618.423-71,,,,
465.081.392-15,1,2,,
026.439.857-29,,,,
481.725.639-73,,,,
421.630.785-15,2,1,,
761.450.892-11,,,,
089.647.325-29,,,,
063.158.427-71,,,,
879.041.526-49,2,2,,
085.649.231-14,,,,
975.208.314-51,2,1,,
265.390.874-38,,,,
563.072.948-92,,,,
345.086.972-83,,,,
628.705.314-35,,,,
389.521.764-64,1,2,,
790.418.325-13,,,,
025.943.876-65,,,,
368.129.057-12,,,,
604.587.231-26,1,1,,
798.546.103-57,,,,
857.431.962-73,,,,
728.946.310-22,,,,
602.391.857-31,,,,
935.074.168-75,,,,
982.473.516-17,2,2,,
239.184.507-32,,,,
657.490.238-18,2,1,,
219.574.360-34,,,,
950.438.217-79,,,,
918.037.654-11,,,,
159.638.207-41,,,,
174.528.390-13,,,,
506.713.248-53,2,2,,
061.752.493-99,,,,
487.609.153-66,,,,
732.961.508-11,,,,
138.479.650-93,,,,
590.718.243-14,,,,
685.230.471-15,,,,
741.086.295-58,1,3,,
190.637.854-11,,,,
954.206.713-52,,,,
924.816.035-24,,,,
509.487.316-48,3,3,,
649.132.705-16,,,,
804.927.351-23,,,,
613.204.795-61,,,,
560.187.924-94,,,,
509.748.123-23,3,3,,
632.051.798-11,,,,
927.153.068-31,,,,
810.247.359-23,,,,
670.923.458-47,3,2,,
482.705.613-71,,,,
174.860.925-49,,,,
849.615.302-98,,,,
426.310.758-62,2,1,,
143.956.027-71,,,,
293.485.071-41,,,,
136.780.924-11,,,,
521.408.379-32,,,,
681.254.930-42,3,3,,
305.169.742-71,,,,
650.481.329-98,,,,
198.350.274-12,2,2,,
694.328.507-65,,,,
013.698.572-68,,,,
690.723.158-12,,,,
493.257.618-82,,,,
932.156.487-17,1,3,,
319.456.802-71,,,,
569.728.401-21,,,,
258.741.960-31,,,,
291.453.708-51,,,,
756.190.382-11,1,2,,
436.507.128-91,,,,
865.910.247-94,,,,
561.327.849-18,2,1,,
982.016.734-51,,,,
560.482.931-51,,,,
534.291.870-79,,,,
263.058.794-19,2,2,,
709.634.152-81,,,,
245.360.718-91,,,,
841.935.706-57,,,,
954.687.210-58,2,3,,
902.435.168-51,,,,
913.026.875-31,,,,
502.367.918-77,,,,
934.027.561-61,2,3,,
304.816.795-11,,,,
840.719.263-51,,,,
075.326.148-16,,,,
829.764.503-74,2,2,,
318.974.652-46,,,,
236.507.849-47,,,,
570.983.462-92,2,1,,
382.750.164-44,,,,
794.125.360-71,,,,
290.873.651-95,,,,
185.729.364-91,2,2,,
895.061.472-31,,,,
962.815.470-21,,,,
702.513.498-88,,,,
604.872.953-74,,,,
894.712.063-41,2,2,,
576.801.234-62,,,,
124.368.570-16,,,,
936.508.174-21,,,,
720.369.851-31,3,2,,
924.305.718-97,,,,
820.756.931-11,,,,
930.724.865-65,,,,
259.834.760-92,3,2,,
058.473.916-84,,,,
876.354.192-18,,,,
081.524.793-14,,,,
634.879.051-75,,,,
472.581.309-51,,,,
845.172.063-35,2,3,,
725.036.894-18,,,,
571.489.362-17,,,,
236.901.754-61,,,,
654.712.839-37,,,,
397.610.254-71,,,,
194.620.857-49,,,,
613.427.908-12,2,3,,
743.956.082-56,,,,
385.192.647-19,,,,
038.469.512-42,,,,
126.039.475-16,,,,
064.271.985-31,,,,
843.562.197-91,,,,
913.046.827-22,2,2,,
790.461.358-11,,,,
172.563.804-53,3,1,,
459.072.381-61,,,,
801.239.476-69,,,,
794.650.138-21,,,,
853.610.974-21,,,,
350.768.941-39,2,1,,
210.659.347-34,,,,
201.465.397-61,,,,
097.128.653-12,,,,
765.892.401-67,,,,
914.562.708-85,,,,
279.643.810-41,2,2,,
832.749.610-78,,,,
926.105.834-51,,,,
073.594.612-43,,,,
094.257.638-11,,,,
258.940.716-58,1,3,,
438.152.907-32,,,,
531.402.798-41,,,,
570.631.942-16,,,,
139.048.765-21,,,,
894.205.637-74,,,,
230.614.758-26,,,,
270.483.615-91,2,3,,
260.879.143-31,,,,
251.083.469-13,,,,
089.471.536-48,3,2,,
083.597.642-47,,,,
718.465.290-85,,,,
032.941.756-81,2,1,,
918.472.653-91,,,,
657.843.021-16,,,,
591.032.486-15,,,,
704.396.152-16,,,,
045.936.172-43,,,,
356.120.849-51,2,2,,
785.493.602-11,,,,
748.310.256-15,,,,
418.679.523-19,,,,
784.013.962-12,2,1,,
357.194.860-21,,,,
418.037.296-78,,,,
345.962.107-99,,,,
235.489.601-89,,,,
192.704.536-34,3,3,,
284.390.167-78,,,,
128.073.569-41,,,,
349.586.712-18,,,,
924.075.136-14,,,,
673.458.029-65,,,,
893.754.062-29,1,2,,
623.705.941-52,,,,
538.026.479-47,,,,
276.801.354-44,,,,
342.865.017-44,,,,
136.542.789-73,,,,
065.319.742-14,2,3,,
483.059.726-74,,,,
674.219.583-55,,,,
698.145.730-19,1,2,,
801.324.975-14,,,,
082.539.614-13,1,1,,
953.728.416-64,,,,
983.175.604-57,,,,
657.480.321-71,,,,
180.629.345-51,2,3,,
147.536.908-57,,,,
873.021.946-96,,,,
605.287.143-17,,,,
586.132.947-82,,,,
834.152.607-71,2,3,,
524.716.038-15,,,,
615.283.479-19,,,,
308.941.276-41,,,,
931.405.682-15,2,2,,
792.384.651-18,,,,
873.054.629-18,,,,
521.673.409-15,,,,
891.560.247-11,2,2,,
650.179.834-57,,,,
815.074.329-41,,,,
137.042.895-23,,,,
310.492.768-51,,,,
208.456.917-67,,,,
397.540.821-97,2,2,,
742.061.859-31,,,,
604.915.273-14,,,,
520.738.614-15,,,,
035.981.427-14,,,,
870.291.563-41,,,,
760.842.513-15,,,,
421.690.375-43,,,,
691.358.024-13,,,,
270.198.465-31,,,,
036.985.274-56,2,2,,
804.793.256-18,,,,
635.402.197-14,,,,
051.892.437-88,,,,
195.704.683-19,,,,
485.120.397-79,,,,
320.874.951-14,,,,
906.458.317-19,3,2,,
618.750.942-11,,,,
408.562.139-42,,,,
861.542.703-81,,,,
851.349.706-11,,,,
648.035.271-81,,,,
985.043.167-93,,,,
081.395.427-41,,,,
825.360.497-11,,,,
091.657.283-86,,,,
856.703.421-35,,,,
681.974.352-19,2,2,,
897.406.321-22,,,,
034.678.291-12,,,,
501.768.923-11,,,,
832.174.560-17,,,,
341.097.652-34,,,,
106.583.724-16,,,,
632.714.058-16,,,,
326.781.405-71,,,,
274.681.930-96,3,2,,
589.463.071-11,,,,
065.289.137-31,,,,
023.851.764-16,,,,
518.073.246-81,,,,
047.351.629-25,,,,
942.815.073-88,,,,
843.912.570-41,,,,
017.438.962-12,,,,
512.738.409-41,3,2,,
029.385.146-89,,,,
269.357.184-73,,,,
983.207.514-97,,,,
294.615.708-31,3,1,,
596.427.310-61,,,,
987.562.431-46,,,,
362.504.198-71,,,,
968.071.423-31,,,,
675.908.243-56,3,2,,
796.823.405-19,,,,
380.257.419-23,,,,
340.819.256-15,3,3,,
425.386.091-51,,,,
347.120.658-26,,,,
263.047.815-71,,,,
487.365.109-39,,,,
896.123.507-95,,,,
518.394.072-12,1,3,,
642.105.387-44,,,,
249.371.850-12,,,,
432.169.057-99,,,,
369.850.724-29,2,2,,
739.506.418-66,,,,
654.792.831-46,,,,
930.486.752-56,,,,
831.496.705-19,2,3,,
523.714.906-52,,,,
274.509.318-51,,,,
695.327.814-55,,,,
987.265.403-47,,,,
849.731.260-12,,,,
910.382.754-23,,,,
607.952.148-21,,,,
879.135.642-37,,,,
014.658.379-57,,,,
108.645.973-39,,,,
780.251.496-76,,,,
973.681.245-64,,,,
406.897.352-19,,,,
379.816.420-78,,,,
015.476.823-53,,,,
573.641.802-91,3,3,,
520.749.813-41,,,,
280.369.574-18,,,,
492.378.510-14,,,,
729.803.156-21,,,,
482.653.971-19,,,,
706.385.941-21,,,,
170.583.964-93,,,,
631.028.754-16,,,,
549.376.210-25,,,,
205.136.479-61,,,,
123.604.985-33,,,,
481.967.352-19,,,,
602.583.971-95,,,,
037.645.928-18,2,2,,
579.860.241-94,,,,
127.058.463-44,,,,
632.745.198-55,,,,
689.205.347-56,2,3,,
823.960.517-68,,,,
204.361.958-61,,,,
943.058.627-19,,,,
046.953.712-43,,,,
578.164.390-75,,,,
859.127.360-59,2,2,,
798.241.563-64,,,,
734.892.560-18,,,,
642.957.108-49,,,,
583.604.721-91,,,,
354.106.829-98,,,,
029.536.178-68,,,,
847.916.053-57,,,,
680.379.542-18,2,1,,
457.380.219-32,,,,
820.193.546-24,,,,
241.895.063-89,,,,
451.836.927-18,,,,
142.370.685-44,,,,
920.586.173-12,,,,
974.315.608-93,,,,
064.973.851-93,,,,
820.716.459-11,,,,
659.327.014-81,,,,
076.238.951-68,,,,
034.618.957-84,,,,
518.936.724-17,,,,
183.057.649-66,,,,
542.086.371-53,2,3,,
673.248.190-87,,,,
702.356.814-15,,,,
628.193.047-96,,,,
497.165.203-52,,,,
738.105.249-13,,,,
576.109.283-21,,,,
985.417.306-21,,,,
753.941.280-14,,,,
624.019.375-52,,,,
672.359.014-71,,,,
642.901.758-31,2,2,,
593.074.216-25,,,,
340.657.918-39,,,,
120.795.638-41,,,,
415.739.062-81,,,,
739.542.610-14,,,,
731.962.480-11,,,,
985.316.274-19,2,3,,
439.825.176-64,,,,
869.421.703-13,,,,
743.280.165-71,,,,
067.234.859-47,,,,
849.072.316-87,2,2,,
371.589.460-11,,,,
589.314.627-19,,,,
093.674.581-93,,,,
756.930.428-47,,,,
971.082.463-51,,,,
104.952.736-43,,,,
951.480.632-89,1,1,,
015.897.642-85,,,,
193.782.045-97,,,,
405.317.982-32,,,,
709.456.312-43,,,,
731.802.954-14,,,,
416.853.097-39,,,,
721.084.536-44,,,,
514.927.386-46,,,,
726.815.304-15,,,,
842.390.517-97,,,,
785.039.461-57,1,2,,
316.527.049-14,,,,
782.456.901-21,,,,
078.421.935-41,,,,
154.860.239-61,,,,
952.716.340-43,,,,
804.195.276-31,,,,
942.816.750-94,,,,
849.312.756-64,,,,
703.185.694-93,,,,
645.387.902-65,,,,
841.027.963-12,,,,
092.154.873-79,,,,
597.138.624-73,2,3,,
324.091.867-69,,,,
869.457.031-93,,,,
607.814.395-66,,,,
269.130.548-15,,,,
730.264.591-43,,,,
043.796.825-11,,,,
361.049.275-99,,,,
293.470.165-43,3,2,,
502.378.146-17,,,,
824.197.356-17,,,,
157.320.486-26,,,,
648.190.527-31,,,,
069.324.158-61,,,,
479.283.160-13,,,,
165.739.280-59,3,3,,
137.964.250-71,,,,
516.829.703-11,,,,
954.380.716-75,,,,
482.396.105-61,,,,
236.415.079-52,3,2,,
482.659.071-76,,,,
896.250.347-65,,,,
361.072.954-61,,,,
579.802.613-21,,,,
542.037.186-35,,,,
638.407.915-11,,,,
045.362.918-14,,,,
743.961.820-31,,,,
420.695.317-16,,,,
768.912.054-76,,,,
237.516.408-35,,,,
134.890.527-14,,,,
705.293.461-25,3,3,,
308.157.924-41,,,,
509.273.864-29,,,,
512.478.690-67,,,,
034.156.297-16,,,,
051.638.974-21,,,,
917.308.562-68,,,,
450.712.836-62,,,,
201.785.943-51,,,,
849.035.726-92,,,,
036.985.247-83,,,,
835.217.406-17,,,,
482.056.391-24,,,,
782.109.536-21,,,,
053.798.416-19,,,,
168.702.349-22,,,,
569.702.834-29,,,,
510.483.769-66,,,,
608.493.725-18,,,,
132.487.506-26,3,2,,
821.459.763-37,,,,
837.620.419-11,,,,
740.368.951-84,,,,
361.075.824-44,,,,
243.501.768-53,,,,
280.639.745-65,,,,
642.713.509-15,,,,
752.896.104-31,,,,
495.267.108-94,,,,
289.371.540-13,,,,
937.802.146-87,,,,
805.934.271-14,,,,
814.352.067-62,,,,
835.624.709-83,,,,
317.529.068-11,,,,
560.913.284-33,,,,
567.028.319-86,,,,
415.908.632-24,,,,
950.748.236-92,,,,
498.763.512-73,,,,
680.529.137-21,,,,
845.791.630-11,1,1,,
461.938.702-96,,,,
864.372.150-62,,,,
543.180.697-11,,,,
436.058.271-44,,,,
369.507.412-43,,,,
268.351.407-71,,,,
873.954.612-82,,,,
417.296.305-61,,,,
720.854.639-83,,,,
426.308.715-17,,,,
590.487.612-21,,,,
053.614.792-25,,,,
632.948.150-42,,,,
392.605.418-24,,,,
513.690.472-15,,,,
234.896.510-14,,,,
712.806.934-87,,,,
473.825.610-62,,,,
257.980.641-58,2,2,,
867.104.932-96,,,,
257.104.839-23,,,,
197.468.052-58,,,,
546.087.312-62,,,,
761.930.425-81,,,,
103.429.768-69,,,,
570.931.682-21,,,,
126.475.903-71,,,,
018.274.569-49,,,,
869.157.243-46,,,,
503.842.916-51,,,,
751.243.980-61,,,,
086.534.172-91,,,,
217.409.835-13,2,3,,
045.971.263-25,,,,
127.945.803-88,,,,
315.642.890-61,3,2,,
928.430.615-98,,,,
405.318.726-53,,,,
015.268.794-76,,,,
126.935.708-59,,,,
914.678.502-76,,,,
687.539.214-37,,,,
419.083.267-78,,,,
176.904.582-11,,,,
602.384.915-61,,,,
316.278.590-12,,,,
943.268.075-47,,,,
182.356.047-44,,,,
073.295.481-97,,,,
908.632.451-71,,,,
687.530.941-66,,,,
436.809.172-87,,,,
980.423.756-38,,,,
068.592.437-83,,,,
798.564.203-18,,,,
065.812.347-53,3,2,,
638.972.014-96,,,,
237.861.950-21,,,,
621.943.587-73,,,,
860.914.573-57,,,,
261.857.094-49,,,,
321.568.409-89,,,,
602.175.983-41,,,,
670.824.359-83,,,,
730.816.529-95,,,,
794.105.268-76,,,,
531.907.284-88,,,,
972.564.831-55,,,,
083.426.971-69,,,,
349.802.671-22,,,,
065.281.943-51,,,,
467.981.053-19,,,,
614.325.708-62,,,,
109.865.724-11,,,,
309.427.561-34,,,,
701.682.394-69,,,,
954.072.813-41,,,,
072.481.356-15,,,,
254.903.178-41,,,,
913.450.287-41,,,,
612.897.504-67,,,,
923.681.047-12,,,,
014.293.758-41,,,,
701.568.923-59,,,,
251.067.893-11,,,,
187.260.534-62,,,,
876.259.014-67,,,,
907.658.123-12,,,,
502.136.784-62,,,,
583.016.249-14,2,2,,
259.817.403-88,,,,
731.948.265-73,,,,
531.687.094-84,,,,
708.196.254-85,,,,
805.726.139-11,,,,
489.017.265-31,,,,
479.182.305-23,,,,
782.693.510-59,,,,
958.347.102-12,,,,
257.631.940-81,,,,
687.239.405-65,,,,
097.265.418-67,,,,
780.159.362-68,,,,
325.904.876-65,,,,
301.965.247-25,,,,
842.539.017-61,,,,
608.497.135-11,,,,
231.850.974-32,,,,
318.697.520-41,,,,
851.946.720-21,,,,
198.324.670-12,,,,
301.768.549-75,,,,
064.123.857-62,,,,
529.347.806-19,,,,
219.034.756-43,,,,
280.637.591-68,,,,
451.798.603-93,,,,
597.648.302-18,,,,
924.316.875-46,,,,
587.213.496-73,,,,
493.570.682-11,,,,
784.609.325-83,3,2,,
239.675.018-68,,,,
482.693.015-15,,,,
562.487.190-21,,,,
742.608.935-56,,,,
302.948.167-12,,,,
396.472.581-19,,,,
405.781.936-39,2,2,,
586.907.132-12,,,,
051.472.368-81,,,,
618.324.579-82,,,,
643.805.291-42,,,,
739.145.086-39,3,3,,
610.798.524-76,,,,
063.815.729-31,,,,
938.750.142-61,,,,
153.648.290-14,,,,
938.506.721-41,,,,
185.027.934-97,2,2,,
341.728.095-88,,,,
634.792.058-11,,,,
037.245.819-12,,,,
380.495.267-47,3,2,,
654.928.107-58,2,1,,
791.634.208-13,,,,
610.754.398-84,,,,
815.679.234-37,,,,
915.640.278-31,,,,
126.379.584-64,,,,
603.581.274-16,,,,
238.079.416-22,1,2,,
392.806.417-78,,,,
495.627.830-65,,,,
815.032.946-33,,,,
741.506.982-11,,,,
789.106.324-96,2,3,,
154.078.639-11,,,,
910.426.785-11,,,,
257.183.046-53,,,,
253.078.961-41,,,,
846.395.102-33,,,,
542.318.096-15,,,,
083.572.961-31,,,,
730.241.568-44,3,3,,
910.342.576-25,,,,
451.238.067-17,,,,
915.870.623-21,,,,
573.219.048-14,,,,
174.568.293-73,2,1,,
475.139.286-73,,,,
847.265.139-82,,,,
516.043.298-15,,,,
941.506.783-75,,,,
950.371.826-11,,,,
782.539.160-86,,,,
738.916.420-41,,,,
318.069.245-61,,,,
521.498.307-79,,,,
154.923.670-99,,,,
756.298.034-92,,,,
178.259.046-31,,,,
354.906.217-61,,,,
815.930.426-98,,,,
164.827.350-53,,,,
195.603.874-48,,,,
570.628.349-47,2,2,,
698.321.457-91,,,,
478.102.956-67,,,,
416.285.037-26,,,,
793.260.548-29,,,,
820.437.691-11,,,,
934.725.810-51,,,,
213.579.680-86,,,,
314.578.290-88,,,,
621.589.437-18,,,,
902.481.635-15,,,,
164.758.320-91,,,,
358.217.690-86,,,,
238.091.647-12,,,,
736.208.145-62,,,,
576.321.940-61,,,,
250.981.643-89,,,,
745.296.308-38,,,,
638.049.157-11,3,3,,
530.192.678-11,,,,
683.219.457-91,,,,
356.908.741-75,,,,
675.982.031-21,,,,
036.587.249-19,,,,
508.169.273-59,3,2,,
085.421.367-81,,,,
095.826.741-31,,,,
824.395.167-91,,,,
253.018.467-44,,,,
748.620.519-11,,,,
912.580.437-51,,,,
941.820.657-94,,,,
976.431.825-82,,,,
763.904.581-93,2,2,,
649.702.851-11,,,,
280.746.195-67,,,,
397.526.401-25,,,,
637.581.094-93,,,,
748.913.026-31,,,,
532.618.904-61,,,,
169.354.728-73,1,2,,
934.617.582-64,,,,
329.518.670-77,,,,
437.051.628-53,,,,
721.453.986-19,1,1,,
940.836.271-31,,,,
796.285.431-64,,,,
129.680.734-78,,,,
173.862.950-31,,,,
452.397.106-43,2,1,,
462.783.190-12,,,,
824.967.531-28,,,,
621.547.980-21,,,,
784.910.635-11,,,,
163.597.482-82,3,2,,
764.812.950-76,,,,
485.769.201-58,,,,
570.163.928-21,,,,
140.852.367-17,2,3,,
401.835.769-93,,,,
096.714.385-39,,,,
894.205.736-56,,,,
685.241.907-11,3,2,,
489.637.021-11,,,,
708.124.596-11,,,,
503.479.182-12,2,2,,
476.529.801-94,,,,
654.089.713-84,,,,
526.043.198-71,2,1,,
752.460.391-61,,,,
976.524.380-47,,,,
836.194.027-87,,,,
489.560.217-67,2,3,,
461.358.029-33,,,,
457.063.128-26,,,,
589.217.043-88,,,,
082.796.415-31,2,2,,
895.376.021-68,,,,
418.790.523-51,,,,
257.896.310-11,,,,
972.180.465-76,,,,
461.087.593-48,1,1,,
328.904.751-23,,,,
940.276.831-96,,,,
410.736.258-26,,,,
401.329.678-12,,,,
143.802.957-88,2,2,,
327.945.816-19,,,,
537.409.286-38,,,,
083.971.546-39,,,,
239.580.614-51,,,,
643.198.507-93,,,,
863.920.174-96,1,3,,
280.973.165-95,,,,
674.259.108-11,,,,
643.902.578-38,,,,
452.168.903-51,,,,
412.389.567-18,,,,
392.708.546-47,,,,
945.176.203-52,2,2,,
937.150.286-11,,,,
694.503.172-16,,,,
293.804.715-13,,,,
514.793.802-88,,,,
364.175.980-39,,,,
127.469.308-11,,,,
709.653.148-39,,,,
240.176.593-14,,,,
189.560.273-41,,,,
256.148.937-17,,,,
658.031.924-14,2,2,,
917.685.024-21,,,,
793.618.450-39,,,,
378.692.154-73,,,,
064.291.835-13,,,,
167.093.842-51,,,,
609.487.231-22,2,2,,
907.621.854-49,,,,
891.243.567-19,,,,
352.749.618-19,,,,
504.392.186-24,,,,
950.134.862-89,2,1,,
410.289.576-11,,,,
289.035.764-38,,,,
562.971.380-95,,,,
165.472.938-82,,,,
972.658.314-46,,,,
824.056.397-18,,,,
761.284.593-82,,,,
536.021.749-99,,,,
921.605.478-67,3,3,,
148.309.526-61,,,,
234.580.691-51,,,,
410.873.956-66,,,,
684.213.597-46,,,,
265.137.480-62,,,,
960.245.738-47,3,3,,
763.509.841-11,,,,
380.746.925-74,,,,
249.675.301-25,,,,
826.317.950-59,3,2,,
643.519.802-14,2,2,,
946.087.213-13,,,,
819.752.063-12,,,,
160.952.734-81,1,1,,
301.968.527-31,,,,
238.751.690-77,,,,
146.379.502-52,2,2,,
805.961.437-11,,,,
715.438.692-46,,,,
376.892.514-55,,,,
105.943.876-39,2,2,,
912.067.543-71,,,,
803.619.742-13,2,3,,
493.156.270-16,,,,
708.362.415-17,,,,
518.423.967-73,,,,
318.602.495-15,,,,
159.068.342-14,2,2,,
743.658.920-29,,,,
219.846.073-41,,,,
296.478.531-73,2,2,,
153.849.206-71,1,1,,
605.218.937-12,2,1,,
427.615.098-11,2,3,,
741.580.932-79,2,1,,
526.147.380-26,1,2,,
628.419.073-51,2,1,,
615.389.072-59,2,3,,
280.379.164-13,2,1,,
869.153.720-59,2,3,,
429.368.015-24,2,3,,
271.634.509-15,2,2,,
146.803.925-33,1,1,,
219.357.806-11,3,2,,
572.846.913-28,3,3,,
189.374.062-51,2,2,,
480.926.753-92,1,1,,
719.064.385-11,1,2,,
819.246.730-96,2,3,,
327.840.651-62,2,1,,
450.823.619-71,2,2,,
105.496.728-85,3,2,,
832.509.164-98,3,1,,
602.495.817-11,3,2,,
417.092.638-22,2,2,,
870.546.912-11,2,1,,
510.296.873-41,2,3,,
810.254.367-17,1,1,,
627.189.305-86,2,2,,
125.649.780-11,3,3,,
286.140.357-81,3,2,,
198.407.563-21,2,1,,
935.718.264-18,1,1,,
254.319.078-32,2,2,,
258.901.376-11,3,3,,
892.430.176-41,2,1,,
162.870.594-94,1,2,,
398.614.572-91,3,3,,
748.612.903-51,1,1,,
049.621.837-96,1,1,,
720.816.549-11,3,2,,
731.624.809-22,2,1,,
037.692.145-52,2,2,,
851.640.397-11,3,1,,
783.429.510-14,2,3,,
918.536.407-19,3,2,,
731.950.684-19,1,1,,
241.069.758-58,2,2,,
075.924.168-67,2,1,,
569.702.134-81,1,2,,
017.423.689-13,2,1,,
052.749.368-65,3,2,,
715.390.846-39,3,3,,
163.982.045-14,2,1,,
257.869.403-65,2,1,,
430.865.927-29,2,1,,
487.960.531-19,2,1,,
286.103.754-71,2,2,,
638.791.405-11,1,1,,
692.407.358-11,3,2,,
091.685.432-98,2,1,,
352.689.714-17,1,1,,
812.945.673-73,2,2,,
067.932.148-96,1,1,,
024.869.573-83,2,1,,
587.306.194-75,2,2,,
698.012.374-22,1,3,,
235.418.907-97,2,3,,
980.437.165-11,2,3,,
728.603.954-74,1,3,,
496.783.015-39,3,1,,
374.518.069-11,2,2,,
124.675.089-94,3,2,,
198.760.532-21,2,3,,
203.816.749-41,1,1,,
406.875.213-35,2,2,,
265.810.349-24,2,3,,
873.690.542-92,2,2,,
486.923.501-33,3,3,,
706.491.538-39,3,2,,
051.839.674-66,2,2,,
607.254.391-14,2,2,,
472.651.098-31,3,3,,
689.371.024-12,2,3,,
973.184.562-37,1,3,,
926.403.857-47,2,1,,
480.215.693-61,3,3,,
782.059.314-88,2,3,,
462.389.157-73,1,1,,
261.837.950-11,2,1,,
357.064.892-38,3,3,,
358.026.197-59,2,2,,
240.971.638-51,2,1,,
316.582.794-17,1,3,,
876.153.420-15,2,1,,
028.743.591-14,1,1,,
726.085.194-58,3,3,,
387.260.541-16,2,1,,
658.073.192-31,1,1,,
187.394.650-39,1,1,,
412.859.076-21,1,1,,
504.629.817-11,1,1,,
284.916.375-91,3,2,,
231.746.058-91,2,1,,
302.618.975-86,2,3,,
417.620.983-69,2,3,,
786.930.512-11,3,1,,
713.259.046-43,2,2,,
073.269.845-65,2,3,,
097.625.438-74,3,2,,
782.564.019-58,1,1,,
954.061.283-71,2,1,,
953.042.867-74,3,1,,
975.841.306-66,2,1,,
086.941.735-57,2,2,,
721.436.509-14,3,1,,
496.032.875-47,2,1,,
039.526.184-89,3,1,,
812.634.759-73,2,1,,
376.952.014-99,2,1,,
754.608.392-38,2,2,,
869.712.453-18,2,3,,
312.807.546-81,,1,,
893.762.154-19,2,2,,
